DE_union_geneID	DE_union_transID
ENSG00000103495	ENST00000219782
ENSG00000103540	ENST00000396208
ENSG00000103550	ENST00000219837
ENSG00000103591	ENST00000261880
ENSG00000103647	ENST00000261861
ENSG00000103653	ENST00000220003
ENSG00000103657	ENST00000443617
ENSG00000103707	ENST00000220058
ENSG00000103723	ENST00000542200
ENSG00000103742	ENST00000352385
ENSG00000103811	ENST00000677011
ENSG00000103995	ENST00000380950
ENSG00000104043	ENST00000284509
ENSG00000104064	ENST00000380877
ENSG00000104081	ENST00000354670
ENSG00000104147	ENST00000220514
ENSG00000104219	ENST00000262096
ENSG00000104267	ENST00000285379
ENSG00000104313	ENST00000645793
ENSG00000104324	ENST00000220763
ENSG00000104332	ENST00000220772
ENSG00000104341	ENST00000445593
ENSG00000104356	ENST00000401707
ENSG00000104368	ENST00000220809
ENSG00000104369	ENST00000342232
ENSG00000104408	ENST00000677447
ENSG00000104413	ENST00000433389
ENSG00000104415	ENST00000250160
ENSG00000104419	ENST00000414097
ENSG00000104435	ENST00000220876
ENSG00000104518	ENST00000526406
ENSG00000104549	ENST00000265896
ENSG00000104611	ENST00000265807
ENSG00000104689	ENST00000221132
ENSG00000104722	ENST00000221166
ENSG00000104738	ENST00000262105
ENSG00000104805	ENST00000411700
ENSG00000104833	ENST00000264071
ENSG00000104852	ENST00000598441
ENSG00000104870	ENST00000426395
ENSG00000104881	ENST00000360957
ENSG00000104885	ENST00000398665
ENSG00000104889	ENST00000221486
ENSG00000104903	ENST00000264824
ENSG00000104936	ENST00000291270
ENSG00000104946	ENST00000221543
ENSG00000104998	ENST00000263379
ENSG00000105048	ENST00000588981
ENSG00000105127	ENST00000269701
ENSG00000105173	ENST00000262643
ENSG00000105193	ENST00000339471
ENSG00000105197	ENST00000607714
ENSG00000105202	ENST00000221801
ENSG00000105220	ENST00000415930
ENSG00000105255	ENST00000221856
ENSG00000105258	ENST00000221859
ENSG00000105270	ENST00000360535
ENSG00000105329	ENST00000221930
ENSG00000105339	ENST00000519811
ENSG00000105355	ENST00000221957
ENSG00000105357	ENST00000642316
ENSG00000105372	ENST00000598742
ENSG00000105376	ENST00000221980
ENSG00000105402	ENST00000263354
ENSG00000105472	ENST00000250340
ENSG00000105514	ENST00000222120
ENSG00000105516	ENST00000222122
ENSG00000105519	ENST00000452990
ENSG00000105538	ENST00000222145
ENSG00000105655	ENST00000338128
ENSG00000105679	ENST00000222286
ENSG00000105699	ENST00000602122
ENSG00000105701	ENST00000597960
ENSG00000105755	ENST00000600651
ENSG00000105767	ENST00000222374
ENSG00000105793	ENST00000222511
ENSG00000105810	ENST00000424848
ENSG00000105821	ENST00000412522
ENSG00000105825	ENST00000222543
ENSG00000105835	ENST00000424768
ENSG00000105849	ENST00000222567
ENSG00000105855	ENST00000222573
ENSG00000105875	ENST00000683848
ENSG00000105880	ENST00000648378
ENSG00000105894	ENST00000393083
ENSG00000105926	ENST00000222644
ENSG00000105948	ENST00000464848
ENSG00000105968	ENST00000222690
ENSG00000105971	ENST00000222693
ENSG00000105974	ENST00000405348
ENSG00000105993	ENST00000262177
ENSG00000105997	ENST00000396352
ENSG00000106003	ENST00000222725
ENSG00000106004	ENST00000222726
ENSG00000106009	ENST00000340611
ENSG00000106028	ENST00000481508
ENSG00000106031	ENST00000649031
ENSG00000106034	ENST00000310396
ENSG00000106052	ENST00000488564
ENSG00000106066	ENST00000409850
ENSG00000106077	ENST00000437775
ENSG00000106078	ENST00000431948
ENSG00000106144	ENST00000310447
ENSG00000106153	ENST00000395422
ENSG00000106236	ENST00000265634
ENSG00000106263	ENST00000360876
ENSG00000106278	ENST00000393386
ENSG00000106305	ENST00000223029
ENSG00000106333	ENST00000223061
ENSG00000106344	ENST00000223073
ENSG00000106348	ENST00000626419
ENSG00000106355	ENST00000450169
ENSG00000106366	ENST00000223095
ENSG00000106397	ENST00000223127
ENSG00000106415	ENST00000223145
ENSG00000106443	ENST00000642461
ENSG00000106462	ENST00000320356
ENSG00000106484	ENST00000223215
ENSG00000106537	ENST00000262067
ENSG00000106554	ENST00000262570
ENSG00000106603	ENST00000395879
