geneName	HEK293T.3h	HCT116.3h	Hela.3h	HEK293T.6h	HEK293.12h.CHX	HEK293.12h.noCHX	SUM159.12h	SUM159.0.2.24h
EIF4EBP2	-0.130275	-0.895281	-1.03292	-1.15868	-2.11227	-1.63693	-0.148581	-1.73554
TLCD4	0.113222	-0.658389	-1.29802	0.0986282	-0.348559	1.32149	-0.398144	-1.15875
HOMER1	-0.0615865	0.0912038	-1.15209	-0.143573	0.208718	-1.10478	0.461374	0.0035191
ABCA5	0.48253	0.206681	1.72892	0.24547	1.66671	1.32149	-0.521406	-0.0744191
ASZ1	1.66071	-0.295819	2.4208	0.0528245	-1.65522	-0.263474	-0.115414	0.331573
TYSND1	-0.624507	0.119218	-1.16417	-0.183782	0.35355	0.00534278	0.036589	1.24138
DHRS4	-0.0812743	0.211141	-1.50204	-0.630702	-0.527465	-0.0290087	0.227474	-1.02598
ISL2	0.641147	0.63018	1.61344	1.12321	0.914945	0.506228	-0.957873	-1.46198
SLX9	-0.621492	-0.295819	-1.22306	-0.911552	-1.00752	-1.06098	0.453154	0.815252
COL6A3	0.982637	-0.295819	3.4208	1.05282	-4.46258	3.05845	-0.291566	-0.656984
MTHFD2L	-0.676066	0.244749	-1.11238	-0.821645	-0.521954	-1.46511	-0.0210867	0.00476299
SAP30L	-0.180763	-0.295819	-1.46456	-0.166185	-0.375113	-0.370389	-0.0450248	-0.717336
ZFYVE1	0.38553	0.332212	1.67757	0.158178	-0.1109	0.958918	0.011498	-0.753818
LDHD	0.553794	1.02611	3.61344	0.860179	2.43224	0.321489	1.88459	0.331573
RBPMS2	-0.63007	-0.456284	-1.53856	-0.262049	-2.14065	-0.848436	-0.115414	-2.66843
PRRX2	-1.92425	0.206681	2.61344	0.0528245	-2.65522	0.736526	1.46955	0.331573
DDIT4	2.16213	0.623369	1.78337	2.04027	2.4746	1.51007	1.36539	0.0312773
UBE2E3	-0.298457	-0.295819	-1.04367	0.207668	-0.808467	0.104258	0.18944	0.339268
RNF26	-0.816408	0.0196825	-1.04552	-0.524942	-1.41915	-0.407864	-0.228462	-2.18603
PPP1R14B	-0.743083	-0.802172	-1.18452	-0.374388	-1.3822	-1.19636	-0.05295	0.903712
TNFRSF10D	-0.493619	-0.979084	-1.12352	-0.550754	-0.684367	0.0446483	-0.979654	-1.42932
MLF1	-0.254794	-0.0507068	-1.087	-0.532138	-0.541401	-1.07792	-0.00536054	0.0074443
GALNT11	0.0168532	-0.188904	-1.07106	-0.349274	-0.873126	-0.111471	0.30299	-2.23997
CITED4	-0.815729	-1.03278	1.38716	-0.795172	-1.24018	0.514134	0.562658	-0.990355
H3C13	-0.865917	-0.295819	-1.20418	-0.335281	-1.57466	-1.66259	0.551564	-0.20207
KLHL25	-0.695052	0.57865	1.50653	0.121537	-0.100632	-0.543582	-0.587483	0.114762
ZFP90	0.302023	0.704181	2.52033	1.08197	0.972811	1.01216	0.214735	0.372215
IFIT1	0.0268373	0.289143	-1.26103	-0.481512	0.804211	-0.848436	-0.0175668	-0.800877
