geneName	MCF10A_EtOH_4h	MCF10A_TAM_4h	Hela_6h	Hela_9h	MCF7_48h	T47D_48h	Hs578t_48h	MDAMB231_48h
ZAP70	NA	NA	4.84934	2.39122	-0.384917	0.632707	-0.625149	0.484152
IL18RAP	NA	NA	3.9533	2.45249	-0.384917	0.632707	-0.625149	0.484152
TRPM6	NA	0.0147194434103297	3.81457	3.50161	1.20005	1.41031	-0.625149	-1.10081
PKN1	-0.483542960922236	0.105592536547351	-1.62471	-0.762392	0.087965	-0.0246227	0.257281	-0.598086
TUBA1B	-0.47196135188139	0.00635021784246371	-1.46625	-0.964165	0.085626	-1.02054	-1.03487	0.325398
NKX2-2	NA	NA	3.83281	3.66384	-0.384917	-0.367293	-0.625149	0.484152
FLRT1	NA	NA	3.84558	2.87976	-0.384917	0.632707	-0.625149	0.484152
MAP2K2	-0.34574497296426	0.0331673213185797	-1.4586	-0.571589	-0.0617818	-0.146793	0.352936	-0.699987
ADM2	5.83351332566623	0.000696658121364526	4.0722	4.55916	-0.621956	1.16109	3.47171	0.484152
COL5A1	NA	NA	-2.00216	-0.966124	1.0183	2.04774	-2.32325	-2.58116
ATP13A3	-0.782000128278925	0.488161681868231	-2.21157	-1.3141	0.22959	-0.553546	-0.157288	-0.129239
VRTN	NA	NA	3.99916	3.11206	-0.384917	0.632707	-0.625149	0.484152
INHBE	5.52351370043816	NA	4.17712	4.12061	-1.06299	1.1495	1.92505	1.48415
FOXN4	NA	NA	3.92614	2.86776	-0.384917	0.632707	-0.625149	0.484152
NCOR1	0.12670921140811	0.638654413815095	-2.18614	-1.31302	0.274046	-0.012909	-2.28185	-0.13679
AKT1	-0.939605582521847	0.0002438988882624	-1.84622	-1.09471	-0.488539	-1.01207	0.290638	-1.27484
PADI1	NA	NA	3.82542	2.70079	0.615083	0.632707	-0.625149	-1.10081
PTPRF	-0.618328302552815	0.039988028801295	-1.85191	-1.25635	-0.00203654	-0.347281	-1.62515	-0.761186
RPL7A	-0.735322815633544	0.298690252950857	-1.80462	-1.35273	0.44248	0.155474	0.412456	0.658385
TMEM45B	NA	NA	3.85641	3.25881	-0.143909	1.77764	-3.79507	0.346649
SLC5A10	NA	NA	4.04853	2.49815	-0.384917	0.632707	-0.625149	0.484152
ITLN2	NA	NA	3.93995	3.28756	-0.384917	0.632707	-0.625149	0.484152
MGAT4B	-0.459121341881621	0.14554256911047	-1.98097	-1.01777	0.200046	-0.213997	-0.132109	-0.401027
NPHS1	NA	NA	3.88273	4.15564	0.615083	0.632707	0.374851	1.48415
FGF19	NA	NA	4.23976	3.17678	-1.38492	0.632707	-0.625149	0.484152
CTRC	NA	NA	4.05572	3.93854	-0.384917	0.632707	-0.625149	0.484152
FAT3	NA	NA	4.24399	2.45302	-0.384917	-0.367293	-2.05399	0.484152
BTNL9	NA	NA	3.84858	3.56669	-0.384917	1.33315	-0.625149	0.484152
PIP5KL1	NA	0.630538441083502	3.88578	3.32851	-1.03699	-0.782331	-0.0401867	-0.515848
TUBA1C	-0.458258012682816	0.0106257907464763	-1.77414	-1.15634	0.480334	-0.488847	-0.832505	0.269828
NT5DC2	-0.811664725619256	0.00417962566551485	-1.72605	-0.451586	0.243115	-0.663381	-0.617112	-0.799641
FASN	0.346719819493726	0.335095622895675	-1.59201	-1.2234	0.609849	-0.793039	-1.75943	-0.66301
DUS1L	-0.168724779547554	0.0156916694482046	-2.10009	-0.511396	0.293155	0.144913	0.471066	-1.48268
MAP6	NA	NA	3.82664	3.23666	0.615083	0.632707	-0.625149	1.48415
ECEL1	NA	NA	-1.9986	-1.01328	0.615083	0.632707	-0.625149	0.484152
SNCG	0.348865778479928	0.847314325647596	3.81387	3.23387	-0.0223465	-0.612097	-1.21011	-0.252813
NLRP6	NA	NA	3.90786	3.88797	-1.38492	0.632707	-0.625149	0.484152
HTR3C	NA	NA	4.10781	3.14299	-0.384917	0.632707	-2.21011	0.484152
TMEM151B	NA	NA	3.92724	5.58736	-0.384917	0.632707	-0.625149	0.484152
ZBTB7A	0.0247741331438122	0.117556725805128	-2.1666	-0.490512	0.0698233	-0.167453	0.197973	0.322514
SAMD4B	-0.446076528437428	0.0179959435992415	-1.74299	-1.93405	-0.26206	-0.374788	0.465616	-0.131184
PAK2	0.0717697187577188	0.531870881012208	-1.86458	-1.05744	0.666886	0.176607	0.205974	0.349851
GREM2	NA	NA	3.91309	2.71482	-0.384917	0.632707	-0.888184	0.484152
PNMA8A	0.293897791855624	0.843119628541902	4.04169	3.32617	-0.384917	3.21767	-1.16572	0.148549
IRAK1	-0.637274404114518	0.0466040835776576	-1.44576	-0.215499	-0.324616	0.0656661	0.264973	-1.13184
XPOT	0.489349242230024	0.00203579911911359	-1.44495	-0.123132	0.10051	0.281812	-0.0730513	-0.144481
JAG2	-0.0960119586240061	0.328002129438836	-1.9319	-1.5444	0.327507	-0.0143065	-2.53204	-1.16792
GRK1	NA	NA	4.0114	3.95311	-0.384917	0.632707	-0.625149	0.484152
INSIG1	-0.458674467110455	0.522209925966615	-1.67815	-2.5811	0.638416	-3.42734	-2.45006	-2.06234
BCR	-0.297116877177075	0.0233638408283866	-1.96965	-0.062142	-0.169188	-0.589686	-0.894756	-0.481082
AGRN	-0.282058646578171	0.790753375491926	-1.39218	-0.541121	0.307367	-0.540078	-1.58623	-1.99169
TUBB4B	-0.917643792671015	0.000842646821629575	-1.44841	-1.00607	0.39253	-1.3148	-1.3199	0.0828749
