geneName	HEK293T.3h	HCT116.3h	Hela.3h	HEK293T.6h	HEK293.12h.CHX	HEK293.12h.noCHX	SUM159.12h	SUM159.0.2.24h
BTN3A2	-0.924253	-2.17029	-0.544101	0.467862	-0.470796	-0.156559	-0.105499	-0.698589
LAMTOR4	-0.875634	-1.34645	-0.565819	-0.91065	-1.34182	-1.4661	0.516722	0.634469
C15orf61	0.129296	-1.16255	-0.28563	0.127787	0.354627	0.538587	0.407007	1.20127
PNRC2	0.82356	1.22355	0.0495398	0.878795	-0.213216	0.736526	0.721087	1.22466
SDHAF3	0.182056	-1.00364	-0.0880358	-0.196789	-0.483709	0.015242	0.3411	1.27017
COL27A1	0.371203	2.28914	0.806086	-0.216362	0.207276	-0.400978	-0.157234	0.524218
KIF13B	0.330862	1.10857	0.0284782	0.000357086	0.514704	-0.170365	0.01517	-0.03861
VPS13A	0.554758	1.06983	0.618979	0.431336	0.480434	-0.172326	-0.387126	-0.664107
ZNF84	0.497859	1.25672	0.684699	0.559784	0.830206	1.79097	0.129005	1.74383
SOWAHC	-0.643625	-1.03278	-0.37362	-0.347713	-1.2629	-1.40098	-0.761777	-0.987495
ETFRF1	0.240654	2.28914	0.164456	0.991424	-0.517717	-0.378951	-0.0940404	0.435409
TRAJ4	2.44921	1.89683	-0.971522	-0.947175	-0.0702581	-0.263474	-2.11541	-1.08346
RPS29	-1.86878	-1.172	-0.77836	-1.03635	-1.94449	-0.945298	0.324189	0.858859
BBIP1	-0.831995	-1.21009	-0.534313	0.249222	0.592707	-0.111471	0.400984	0.76926
MCRIP1	-0.262705	-1.05938	-0.0274782	-0.327599	-0.940281	-0.129457	0.327934	0.787802
NACA2	-1.27384	-2.75525	0.291513	-0.554858	0.126139	-1.41032	-0.404921	0.19407
MRPL12	-1.23741	-2.51821	0.0284782	-0.684141	-0.729221	-1.62256	1.69194	1.6535
ZNF2	-0.151024	1.87411	0.876475	0.200923	0.988636	1.03609	1.071	1.14602
DHRS11	-0.176561	-1.22182	-0.781419	0.471429	0.187423	0.0319819	0.355892	0.530353
ENSG00000289051	-1.47054	-1.99626	-1.02702	-0.188184	-0.405607	-0.0410816	0.824213	1.23373
MTMR7	1.50024	-0.295819	-0.971522	0.637787	-0.432828	2.73653	0.415101	-1.83835
IBTK	1.79422	0.552178	0.420057	1.34868	0.706236	1.53171	0.153773	0.876758
TNFRSF12A	-1.14665	-0.225382	-0.512657	-1.1951	-1.56558	-0.963914	-0.448509	0.553679
PAX6	1.02886	0.704181	0.857366	0.843729	0.531865	0.593568	0.884586	0.331573
RPUSD1	-1.0048	-0.265446	-0.480535	-0.694409	-1.83095	-1.47158	0.359495	0.557455
RPS20	-1.19429	-0.335959	-0.349185	-1.91369	-3.00218	-1.55893	-0.37551	0.627871
PHF7	1.31279	-2.29582	-0.386559	0.538251	0.988636	-0.263474	1.20651	-0.0834642
STAB1	3.32367	1.28914	0.613441	0.0528245	-1.65522	-0.263474	-0.115414	0.331573
SYT7	-1.06014	0.0761495	0.443516	0.959715	-1.15772	-1.5854	0.0545109	0.791005
SEMA3B	-2.03973	0.0578177	0.263254	-1.16957	0.432242	0.736526	0.0753414	-1.81959
POLA2	-1.25183	0.926573	0.835833	-0.288212	1.00774	1.08445	-0.115414	-1.19199
ZNF582	1.46326	-0.295819	0.613441	0.970362	1.66671	1.4146	-0.115414	0.331573
ARID4A	1.18931	0.593149	0.37017	0.678759	0.731802	0.736526	-0.621398	0.265122
FAM136A	-1.52149	-0.571454	-0.386559	-0.647615	-1.31057	-0.543582	0.372192	0.300712
DAPK2	1.24567	0.189608	0.082926	1.05282	-0.762136	0.736526	0.884586	0.916536
RAB27B	1.21325	-2.61775	-0.997994	-0.169568	1.66671	0.736526	0.101817	0.257573
SPATA7	1.13378	0.119218	0.712976	0.52231	0.875294	-0.111471	0.238223	0.862088
COL9A2	2.07575	-0.880782	-0.386559	0.0528245	0.666707	-0.263474	-0.115414	1.33157
PPP1R3F	-1.1368	-2.29582	-0.971522	0.0528245	-0.506357	0.0584541	0.299623	0.331573
OPN3	1.30457	0.704181	-0.131302	1.05282	-0.807224	-0.848436	-0.134779	-0.32739
CAMK2B	1.01685	-0.295819	1.61344	-1.16957	0.723291	0.151564	-0.115414	0.331573
FLYWCH1	-1.22097	0.054678	-0.200146	-0.395636	0.213885	0.142518	-0.12315	-0.739588
SLC6A16	3.12014	-0.295819	0.613441	0.467862	-0.485296	0.151564	-0.115414	0.331573
RPL18	-1.10304	-0.309391	-0.509703	-0.637184	-1.41902	-0.954717	-0.130198	1.24635
CASP8	1.00349	0.570502	0.357914	0.648758	0.982209	0.970991	-0.0307694	0.0471857
DMRT3	1.75382	-1.29582	0.613441	0.704901	0.344779	-0.000439573	-0.115414	0.331573
NGFR	-1.75433	-1.10317	0.613441	0.900821	-1.07026	0.321489	-0.437342	2.05404
SNCAIP	1.07575	0.704181	1.07287	0.342331	-1.00314	1.73653	-0.115414	0.331573
CALCRL	1.36115	0.289143	-0.386559	2.05282	0.804211	1.73653	-0.371754	-1.0503
GSTO2	1.33595	0.333112	-0.564897	-0.354833	0.186082	0.736526	0.691941	0.916536
HYAL2	-1.06239	-0.406851	-0.567132	-1.39828	-2.4239	-1.22695	-0.0380807	-2.11994
PYGM	3.46806	0.704181	-0.386559	-1.53214	-1.07026	-0.263474	-1.70038	-1.25339
TRPC7	-2.33929	-0.295819	0.613441	0.0528245	-1.65522	-0.848436	-0.115414	0.331573
ASNS	1.79168	0.363176	0.699782	2.00122	3.3049	2.7221	-0.34973	-0.243879
RPL31	-1.57917	-0.26411	0.040732	-0.957121	-2.26851	-1.58287	0.154612	-0.0610392
RPS6KA2	1.2369	0.289143	0.285866	2.08031	1.19027	1.22195	-0.700377	-0.253389
TFRC	-1.31673	0.201052	0.0731983	-2.39749	-1.60036	-2.0866	-0.390575	-0.475164
GSDMB	1.8831	-0.295819	-0.386559	-0.362213	0.344779	-2.07083	0.370013	1.00965
PTGS2	1.43832	0.441146	1.33559	0.140287	0.344779	1.73653	-2.23089	-1.36887
ATP2A3	-1.02735	-0.234419	0.125647	-0.976923	0.152134	0.277094	0.469548	0.916536
ICAM3	-1.1169	-1.06135	-0.590093	-0.908701	-1.41421	-0.678511	0.568112	-0.355269
RUNX1T1	1.08559	-0.295819	1.61344	0.677315	-0.219122	0.514134	1.46955	1.791
LIPE	-1.45477	0.234695	-0.386559	-0.345725	-0.00314393	-0.433399	1.04808	0.442605
RPS5	-1.2535	-0.80747	-0.526673	-1.05664	-1.91785	-1.35723	-0.0664163	0.985535
SEPHS1	-1.01041	-0.447822	-0.101402	-0.290279	-0.297669	-0.807794	0.354569	-0.849596
HBQ1	-1.05918	-0.295819	-0.971522	0.637787	-1.82515	-1.00044	-0.115414	0.331573
GNAO1	-1.18059	-0.295819	0.372433	-1.16957	0.666707	0.151564	0.536663	-2.47578
ANKRD10	-1.4225	-0.7705	-0.24454	-0.931056	0.0133285	-0.596898	0.18732	-0.0520317
CRLS1	-1.53972	-0.688137	0.0284782	-0.50789	-1.6783	-1.12597	0.283856	-0.104526
FKBP1A	-1.24746	-0.322786	-1.43719	-0.400801	-0.201152	-0.154245	0.143673	0.924398
SIRT4	-1.59305	-1.88078	0.613441	-0.71271	-0.240183	0.99956	0.299623	-1.25339
ZNF302	1.06931	0.356257	0.562215	0.665801	0.98338	0.662525	-0.243738	-0.901087
ARHGAP4	1.29814	0.428546	-0.971522	0.637787	1.15213	1.73653	1.46955	0.331573
RBM27	1.09428	-0.76975	0.043125	0.41272	-0.0702581	0.344209	0.0509443	0.00964521
DTX2	-1.5803	0.651713	-2.19391	-0.21021	-0.462576	0.321489	0.206514	-1.31479
CMTM6	1.02241	0.212437	0.209648	0.284823	0.271347	-0.136362	-0.484196	-0.283532
STX1B	2.24567	0.704181	-0.386559	-0.947175	-2.24018	1.73653	1.10698	0.331573
RASSF7	-1.36367	0.0826923	-0.209682	-0.575207	-0.89272	-0.882384	0.894301	-0.292918
LGALS1	-1.19727	-0.618582	-0.384257	-0.947175	-1.60942	-1.52651	0.31448	-0.181395
CABP7	3.66071	-0.295819	0.613441	-0.947175	-1.07026	0.736526	-0.115414	0.331573
ISM2	-1.54874	-0.295819	-0.386559	0.0528245	-1.65522	0.151564	-0.115414	0.331573
ASB2	2.83063	-0.295819	1.61344	2.05282	0.344779	2.32149	-0.115414	0.331573
SUSD6	-1.65271	-0.180342	-0.193914	-0.150709	0.37226	0.629611	-0.859233	0.172717
TELO2	-1.02133	-0.071113	-0.132584	-0.302564	0.0190092	0.151564	0.0011486	-0.654379
RAB5IF	-1.58615	-0.0548112	-0.483856	0.467862	-0.769392	-0.536492	-0.195141	1.42177
SLCO4A1	-1.12065	0.262912	0.143955	-1.21926	-0.853766	-0.778047	-0.275712	-0.201561
COL20A1	3.12014	-0.295819	0.613441	1.05282	-2.24018	1.32149	-1.11541	-0.668427
RNF24	-1.19043	0.819658	0.495604	0.483459	-0.249228	-1.00044	-0.374976	0.595573
CCM2L	3.5676	0.289143	1.61344	0.0528245	-0.195789	3.01663	-1.11541	-1.66843
POLI	1.09792	0.141586	0.342139	0.941179	1.19564	1.18398	0.161881	0.406052
CACNA1F	4.24567	-0.295819	0.613441	0.0528245	-1.65522	0.736526	-0.115414	1.33157
NALCN	1.21325	0.704181	0.147777	0.0528245	-1.65522	0.736526	-0.247204	-0.0657622
RGCC	-1.39818	0.163612	0.323934	-1.36221	-1.3208	0.321489	-0.240945	-2.25339
MMP15	-1.25231	-0.917308	-1.59601	-0.606139	-0.691747	-0.655791	-0.541679	-1.63526
FA2H	-1.6194	-0.973891	-0.971522	-0.84026	-1.87761	-0.585402	-0.115414	0.331573
NAGPA	-1.16604	-0.35995	-0.0329223	-0.362213	-0.655221	-0.263474	0.0033557	-0.813569
SYT17	-1.77986	-0.295819	0.0284782	-0.21021	-0.407293	1.05845	0.884586	0.331573
BMF	1.33878	-0.295819	1.02848	1.30075	1.97705	1.15156	-0.115414	-0.668427
KLC3	-1.57195	-0.509944	-0.386559	-0.0296377	-1.0154	-1.40098	1.46955	0.331573
RPS16	-1.08705	-0.649246	-0.879662	-0.931208	-1.94406	-1.22077	-0.038783	1.08688
ICAM4	-1.19727	-0.295819	0.613441	-1.23668	-0.503218	-1.4334	-0.115414	0.331573
RPS19	-2.05762	-0.862649	-0.84214	-1.55633	-2.66406	-1.53864	-0.100322	1.12814
CD33	3.98264	0.441146	-0.386559	0.0528245	1.5147	0.736526	-0.182051	0.442419
CLEC11A	-1.04501	-0.710857	0.613441	0.0258575	-0.718786	-0.497939	0.714661	1.33157
KLF1	2.66071	-0.295819	0.613441	0.0528245	-1.24018	0.736526	0.884586	0.331573
RPL18A	-2.83745	-0.147721	-1.66896	-1.05923	-3.27671	-0.918826	-0.535128	1.57581
RAB3A	-1.0909	-0.536827	-1.66667	-1.65172	-1.65522	-1.62604	1.63182	-0.01635
ZNF574	-1.11108	0.0261088	-0.148868	-0.407656	-0.615692	-0.245327	-0.248681	0.466503
BET1	1.08377	-0.271572	0.877573	0.0594576	0.508643	0.656356	0.0660328	0.697445
HBP1	1.46739	0.890047	0.962389	1.351	2.50321	1.25736	0.191354	-0.502417
HOXA6	1.47568	-0.295819	-0.971522	0.275217	0.0741318	-0.189473	-0.115414	0.331573
ZNF862	1.02328	-0.295819	0.0284782	0.107272	0.166781	0.584523	0.0101168	-0.957933
ACTR3C	1.27738	0.704181	-1.19391	-1.16957	-0.655221	-0.848436	-0.115414	0.331573
AEBP1	2.46806	-0.295819	-0.386559	1.05282	-3.24018	0.736526	-0.115414	0.331573
FSD1L	1.27542	1.11922	0.0284782	0.637787	-0.0271894	-1.4334	0.0862198	1.56423
RLN1	1.36432	-0.295819	-0.971522	0.600312	1.08174	-1.5854	-1.11541	-0.668427
CUBN	3.46806	-0.295819	-0.386559	0.0528245	-0.0702581	0.736526	1.00006	1.06854
VSIR	-2.11188	-0.0425329	-0.649594	-0.684141	-0.140647	-0.848436	-0.0482999	-0.81729
LZTS2	-1.16178	-0.364206	-0.386559	-0.811114	-0.706446	-0.773669	0.423255	-0.204859
UBE2S	-1.4088	-0.916701	-0.413031	-0.666724	-1.92489	-0.748901	0.756963	0.8133
RPL28	-1.30952	-0.812373	-0.953522	-1.09719	-1.70366	-1.35672	-0.156534	0.697108
GALK1	-1.2933	-0.266072	-0.193914	0.0528245	-0.232626	-0.451546	0.344411	-0.292918
UBE2D3	-1.32077	-0.461353	-0.308204	-0.301446	-0.870949	-0.441811	0.116402	0.335978
RPL34	-2.38049	-0.492764	-0.887487	-1.16866	-1.37866	-1.47148	-0.0559812	0.353319
TECTA	2.16321	-0.295819	2.1984	1.05282	-0.195789	2.73653	-0.115414	0.331573
HSPA8	-1.51935	-0.349694	-0.98868	-3.2223	-1.33447	-2.71085	-0.453477	-2.61707
CCKBR	-2.37491	-0.295819	0.613441	-1.53214	0.0452191	0.736526	-1.11541	-0.668427
CEP126	1.46041	0.926573	0.291513	1.23725	0.554233	0.736526	-0.208523	0.0864608
ACCS	1.22014	2.87411	-1.84599	0.978824	1.7371	1.15156	1.20651	-0.0834642
PSMD9	-1.06418	-0.321814	-0.119079	-0.228462	-0.789386	-0.715463	0.0749171	-0.527564
RSRC2	1.01951	0.386754	0.0928949	0.49868	1.02526	0.334155	0.213761	1.3205
