geneName	HEK293_2h	HMECs_1h	HMECs_24h	MCF10A_2h	M231_1h	SUM159PT_1h	SUM159PT_24h
LRAT	NA	-0.101286	-1.06213	-0.0262908	-0.250742	1.21362	0.498211
HS3ST2	0.947564872682115	0.269186	-1.07825	0.236744	0.749258	0.213621	-0.501789
P4HA1	0.924328500080292	0.165334	-1.11889	-0.258367	-0.0848683	-0.0259342	0.346563
TNFAIP6	NA	1.33736	3.24368	0.629061	-0.250742	0.576191	-0.501789
HMGB1P1	NA	1.92232	3.4136	0.236744	-0.835704	1.21362	1.82014
SLC12A5	NA	2.33736	3.70311	0.236744	0.334221	-0.108308	0.176283
NKX2-2	0.99343750379405	2.92232	4.15057	0.236744	1.74926	0.628658	0.235177
TAS2R4	NA	1.33736	3.24368	0.236744	-1.8357	-2.37134	-0.501789
PPAT	0.484369197502695	-0.238571	-1.02662	-0.635706	0.146958	-0.868985	0.0378667
BBOX1	NA	0.699928	3.24368	0.236744	0.749258	1.21362	0.498211
TOE1	0.893369501153611	0.473495	-1.01936	-1.52879	0.184924	-0.0652388	-0.582709
LOXL2	NA	0.00914001	-1.08048	-0.135495	-0.0172699	1.09468	-0.60578
ETS1	NA	0.0541103	-1.07238	-2.11639	0.01739	-0.753531	0.0411818
DTX1	NA	1.33736	3.4136	0.236744	1.33422	1.21362	1.49821
RDH5	NA	3.14471	3.24368	1.23674	0.0971815	2.0437	-0.671714
B4GALNT1	NA	-0.531398	-1.06118	0.583194	-0.522044	0.83253	0.117121
EGLN1	0.77321130277232	0.16286	-1.01571	0.264224	-0.0580967	0.304768	0.164474
RPS6	0.76885154078856	0.0749858	-1.00009	-1.76779	0.404338	-0.248772	-0.377861
GCHFR	0.937026522376669	1.33736	3.4136	1.44319	-0.250742	-1.31689	-0.0323037
STAMBPL1	0.989973290295412	-0.814645	-1.07825	-0.971365	0.0933039	-0.808747	-0.617266
FGF5	NA	-0.184595	-1.04012	0.236744	-0.166208	2.21362	0.498211
KRT71	NA	1.33736	4.05103	-1.34822	-0.835704	2.21362	1.49821
RPL3L	NA	0.337358	3.24368	0.236744	-0.250742	1.21362	0.498211
PRDM15	0.292824299524528	-0.349703	-1.10996	-0.631153	-0.262714	0.0603743	-0.0700728
DNMT3L	NA	2.14471	3.4136	0.236744	-0.57267	-0.108308	0.498211
RPL10	0.939768480198807	-0.108493	-1.06066	-2.12081	0.136281	-0.122807	-0.928415
NOCT	0.604508133425314	-0.314719	-1.01412	-0.840333	0.233439	-0.431715	-0.388132
ADAM8	NA	-0.233994	-1.00169	-0.500222	-0.564677	2.30673	-0.0867515
FRMD1	NA	0.337358	4.4136	0.236744	-0.250742	3.08809	-1.08675
AK9	0.893000214208947	0.481748	3.54264	0.821706	-0.0902771	-0.428827	0.0831735
HTR6	0.400999082606372	1.2549	3.64361	-0.763256	1.33422	1.43601	2.91325
SPATA2L	0.323540575044944	-0.795092	-1.00425	-2.03627	-0.108723	1.49902	-1.04236
IQCC	0.265313481315315	-0.31034	-1.06298	0.751317	-0.271206	-0.99283	-1.60132
CILP2	0.786505227261615	0.92232	3.33114	-0.763256	-0.186611	4.02098	1.49821
COL26A1	NA	1.92232	4.15057	0.236744	0.749258	0.213621	-0.501789
PAQR3	0.534826689552991	-0.316867	-1.01936	-1.61125	-0.0335111	-0.464451	0.226131
ANTXR2	NA	0.0263462	-1.05237	1.10601	-0.109329	-1.29909	0.149891
EOMES	NA	-0.200299	-1.00025	0.236744	-0.250742	-0.786379	1.08317
