geneName	MCF10A_EtOH_4h	MCF10A_TAM_4h	Hela_6h	Hela_9h	MCF7_48h	T47D_48h	Hs578t_48h	MDAMB231_48h
ATF3	3.90065092158026	7.91137324710075e-19	3.24698	3.54951	-0.955232	0.221919	2.03196	0.773659
CWC22	1.54040635931257	0.0782488464301552	0.915845	0.465397	-0.112186	-0.263534	1.11901	1.46397
AZI2	1.0679653266948	0.000511625566974958	0.428413	0.826716	-1.02015	-0.499205	1.18699	0.0295864
CDC25A	-1.54680644575405	0.0245809204466329	-0.167531	0.365867	0.640618	-0.644403	1.18221	1.73791
GRPEL2	1.78399044811249	3.5543571203286e-16	2.64316	2.42293	-0.384917	0.226947	1.10566	1.23417
DLC1	1.5222838986861	0.00753030402405113	3.28655	3.15174	0.615083	2.21767	1.46903	0.738642
NFIL3	1.51469535670816	0.0020399970053529	1.44698	1.82835	0.448725	0.423253	0.70927	0.0295864
LETM2	1.24847058510711	0.80185287467436	1.16179	2.26945	0.074515	-0.449755	1.40039	0.0480531
PDZD8	-1.00316182645822	0.000814269740706225	-0.763139	-1.56496	0.365564	0.104328	0.018707	-0.626272
PTER	1.43930338311921	1.70909308959937e-06	0.318762	0.769303	0.503766	0.644022	-0.888184	0.384617
GPT2	1.21864713138482	0.00377818085516355	2.21862	2.66831	-0.606638	0.235536	1.03196	0.356773
SCNN1G	-1.36560810857355	0.0355170088422823	2.85944	3.39471	-0.384917	-1.36729	0.374851	0.484152
MARS1	1.21414009227836	6.19739447539767e-14	1.31969	1.58802	-0.103892	0.328426	0.726532	-0.0416802
MIDN	1.18652627800964	0.170652868861063	-0.259591	0.736319	0.0892001	-0.433146	1.37485	0.199699
FTH1	1.05628278947346	1.10690786997033e-05	0.161517	0.441194	0.342065	-0.25048	1.72684	1.32705
DDIT4	1.21855015346008	0.00264371297959769	2.41422	2.51558	-0.217273	1.14103	1.97362	-0.252813
PXK	2.20319871578907	8.94827774460896e-07	1.78926	2.7185	0.539135	0.351585	1.08836	0.246653
H1-4	1.19040559002223	5.78216903332805e-08	1.60142	0.0209266	-2.10196	-1.8212	-0.963266	-1.13273
CAVIN2	-1.17898107580217	0.12864634139401	2.03838	2.10364	-0.384917	0.632707	-1.13361	-0.88263
CEP120	1.11789607835786	0.00458633489799704	0.739656	1.92341	0.0403892	-0.8109	0.933582	-0.515848
IRS1	-2.83760380267494	0.0280692247948339	-0.753255	0.0273052	0.049243	1.27538	-0.817794	0.452582
ATF5	3.27402130268562	0.00126134971704026	3.32875	4.53001	-0.73284	1.01122	4.19077	0.484152
SIMC1	-1.32627888134467	0.0213206422158086	3.03327	3.40741	0.96872	-0.141017	1.23735	0.527221
CRTAP	-1.25249242869342	0.000584322975556406	-0.397767	-0.468799	0.235796	0.288521	-1.0812	-0.330665
NETO2	-1.66470067506325	9.14163122634748e-05	-1.41713	-0.899408	0.169019	0.632707	-1.24101	1.48415
JUNB	1.34944103087129	3.79627661711739e-06	-0.569694	1.80576	0.138869	0.623937	1.27532	0.951931
